username,title,year,rating,film_slug,year_clean,title_norm,tmdb_id
schaffrillas,Superman,2025,7.0,superman-2025,2025.0,superman,1061474
schaffrillas,Mission: Impossible – The Final Reckoning,2025,7.0,mission-impossible-the-final-reckoning,,missionimpossible–thefinalreckoning,575265
schaffrillas,Sinners,2025,8.0,sinners-2025,2025.0,sinners,1233413
schaffrillas,A Complete Unknown,2024,6.0,a-complete-unknown,,acompleteunknown,661539
schaffrillas,Wallace & Gromit: Vengeance Most Fowl,2024,8.0,wallace-gromit-vengeance-most-fowl,,wallace&gromitvengeancemostfowl,929204
schaffrillas,Nosferatu,2024,9.0,nosferatu-2024,2024.0,nosferatu,426063
schaffrillas,Juror #2,2024,7.0,juror-2,,juror#2,1106739
schaffrillas,Joker: Folie à Deux,2024,3.0,joker-folie-a-deux,,jokerfolieàdeux,889737
schaffrillas,The Brutalist,2024,6.0,the-brutalist,,thebrutalist,549509
schaffrillas,Nickel Boys,2024,8.0,nickel-boys,,nickelboys,1028196
schaffrillas,Conclave,2024,5.0,conclave,,conclave,974576
schaffrillas,Beetlejuice Beetlejuice,2024,6.0,beetlejuice-beetlejuice,,beetlejuicebeetlejuice,917496
schaffrillas,Alien: Romulus,2024,7.0,alien-romulus,,alienromulus,945961
schaffrillas,Trap,2024,7.0,trap-2024,2024.0,trap,1032823
schaffrillas,Anora,2024,9.0,anora,,anora,1064213
schaffrillas,The Substance,2024,9.0,the-substance,,thesubstance,933260
schaffrillas,Megalopolis,2024,6.0,megalopolis-2024,2024.0,megalopolis,592831
schaffrillas,Furiosa: A Mad Max Saga,2024,8.0,furiosa-a-mad-max-saga,,furiosaamadmaxsaga,786892
schaffrillas,Challengers,2024,9.0,challengers,,challengers,937287
schaffrillas,Dune: Part Two,2024,9.0,dune-part-two,,duneparttwo,693134
schaffrillas,I Saw the TV Glow,2024,8.0,i-saw-the-tv-glow,,isawthetvglow,858017
schaffrillas,ted,2024,8.0,ted-2024,2024.0,ted,72105
schaffrillas,Godzilla Minus One,2023,8.0,godzilla-minus-one,,godzillaminusone,940721
schaffrillas,Dream Scenario,2023,9.0,dream-scenario,,dreamscenario,823482
schaffrillas,Priscilla,2023,7.0,priscilla,,priscilla,1020006
schaffrillas,The Killer,2023,6.0,the-killer-2023,2023.0,thekiller,800158
schaffrillas,Poor Things,2023,9.0,poor-things-2023,2023.0,poorthings,792307
schaffrillas,The Holdovers,2023,10.0,the-holdovers,,theholdovers,840430
schaffrillas,Oppenheimer,2023,9.0,oppenheimer-2023,2023.0,oppenheimer,872585
schaffrillas,Mission: Impossible – Dead Reckoning,2023,9.0,mission-impossible-dead-reckoning,,missionimpossible–deadreckoning,575264
schaffrillas,Barbie,2023,9.0,barbie,,barbie,346698
schaffrillas,Spider-Man: Across the Spider-Verse,2023,9.0,spider-man-across-the-spider-verse,,spidermanacrossthespiderverse,569094
schaffrillas,Anatomy of a Fall,2023,8.0,anatomy-of-a-fall,,anatomyofafall,915935
schaffrillas,May December,2023,9.0,may-december,,maydecember,839369
schaffrillas,Killers of the Flower Moon,2023,8.0,killers-of-the-flower-moon,,killersoftheflowermoon,466420
schaffrillas,The Zone of Interest,2023,6.0,the-zone-of-interest,,thezoneofinterest,467244
schaffrillas,Guardians of the Galaxy Vol. 3,2023,9.0,guardians-of-the-galaxy-vol-3,,guardiansofthegalaxyvol3,447365
schaffrillas,Bottoms,2023,8.0,bottoms,,bottoms,814776
schaffrillas,Past Lives,2023,8.0,past-lives,,pastlives,666277
schaffrillas,Babylon,2022,7.0,babylon-2022,2022.0,babylon,615777
schaffrillas,Avatar: The Way of Water,2022,6.0,avatar-the-way-of-water,,avatarthewayofwater,76600
schaffrillas,The Menu,2022,9.0,the-menu-2022,2022.0,themenu,593643
schaffrillas,The Fabelmans,2022,9.0,the-fabelmans,,thefabelmans,804095
schaffrillas,Glass Onion,2022,9.0,glass-onion,,glassonion,661374
schaffrillas,The Banshees of Inisherin,2022,9.0,the-banshees-of-inisherin,,thebansheesofinisherin,674324
schaffrillas,The Whale,2022,2.0,the-whale-2022,2022.0,thewhale,785084
schaffrillas,TÁR,2022,7.0,tar-2022,2022.0,tár,817758
schaffrillas,Nope,2022,8.0,nope,,nope,762504
schaffrillas,Thor: Love and Thunder,2022,5.0,thor-love-and-thunder,,thorloveandthunder,616037
schaffrillas,Top Gun: Maverick,2022,8.0,top-gun-maverick,,topgunmaverick,361743
schaffrillas,The Northman,2022,7.0,the-northman,,thenorthman,639933
schaffrillas,The Unbearable Weight of Massive Talent,2022,5.0,the-unbearable-weight-of-massive-talent,,theunbearableweightofmassivetalent,648579
schaffrillas,Everything Everywhere All at Once,2022,9.0,everything-everywhere-all-at-once,,everythingeverywhereallatonce,545611
schaffrillas,The Batman,2022,8.0,the-batman,,thebatman,414906
schaffrillas,Spider-Man: No Way Home,2021,8.0,spider-man-no-way-home,,spidermannowayhome,634649
schaffrillas,Licorice Pizza,2021,9.0,licorice-pizza,,licoricepizza,718032
schaffrillas,Last Night in Soho,2021,4.0,last-night-in-soho,,lastnightinsoho,576845
schaffrillas,Spencer,2021,6.0,spencer-2021,2021.0,spencer,716612
schaffrillas,Dune,2021,9.0,dune-2021,2021.0,dune,438631
schaffrillas,C'mon C'mon,2021,8.0,cmon-cmon,,cmoncmon,632617
schaffrillas,Pig,2021,8.0,pig-2021,2021.0,pig,635731
schaffrillas,Luca,2021,8.0,luca-2021,2021.0,luca,508943
schaffrillas,The Suicide Squad,2021,9.0,the-suicide-squad,,thesuicidesquad,436969
schaffrillas,Tenet,2020,5.0,tenet,,tenet,577922
schaffrillas,Shiva Baby,2020,7.0,shiva-baby-2020,2020.0,shivababy,664300
schaffrillas,The Father,2020,8.0,the-father-2020,2020.0,thefather,600354
schaffrillas,Promising Young Woman,2020,4.0,promising-young-woman,,promisingyoungwoman,582014
schaffrillas,1917,2019,8.0,1917,,1917,530915
schaffrillas,The Irishman,2019,7.0,the-irishman-2019,2019.0,theirishman,398978
schaffrillas,Jojo Rabbit,2019,10.0,jojo-rabbit,,jojorabbit,515001
schaffrillas,Knives Out,2019,10.0,knives-out-2019,2019.0,knivesout,546554
schaffrillas,Sound of Metal,2020,6.0,sound-of-metal,,soundofmetal,502033
schaffrillas,Joker,2019,7.0,joker-2019,2019.0,joker,475557
schaffrillas,Uncut Gems,2019,9.0,uncut-gems,,uncutgems,473033
schaffrillas,Ford v Ferrari,2019,8.0,ford-v-ferrari,,fordvferrari,359724
schaffrillas,Spider-Man: Far From Home,2019,9.0,spider-man-far-from-home,,spidermanfarfromhome,429617
schaffrillas,Parasite,2019,9.0,parasite-2019,2019.0,parasite,496243
schaffrillas,Once Upon a Time... in Hollywood,2019,7.0,once-upon-a-time-in-hollywood,,onceuponatimeinhollywood,466272
schaffrillas,Portrait of a Lady on Fire,2019,9.0,portrait-of-a-lady-on-fire,,portraitofaladyonfire,531428
schaffrillas,The Lighthouse,2019,10.0,the-lighthouse-2019,2019.0,thelighthouse,503919
schaffrillas,Avengers: Endgame,2019,7.0,avengers-endgame,,avengersendgame,299534
schaffrillas,Us,2019,5.0,us-2019,2019.0,us,458723
schaffrillas,Spider-Man: Into the Spider-Verse,2018,10.0,spider-man-into-the-spider-verse,,spidermanintothespiderverse,324857
schaffrillas,Bohemian Rhapsody,2018,5.0,bohemian-rhapsody-the-complete-live-aid-performance,,bohemianrhapsody,424694
schaffrillas,The Favourite,2018,9.0,the-favourite,,thefavourite,375262
schaffrillas,First Man,2018,5.0,first-man,,firstman,369972
schaffrillas,Mission: Impossible – Fallout,2018,8.0,mission-impossible-fallout,,missionimpossible–fallout,353081
schaffrillas,Incredibles 2,2018,6.0,incredibles-2,,incredibles2,260513
schaffrillas,Deadpool 2,2018,7.0,deadpool-2,,deadpool2,383498
schaffrillas,BlacKkKlansman,2018,8.0,blackkklansman,,blackkklansman,487558
schaffrillas,Avengers: Infinity War,2018,9.0,avengers-infinity-war,,avengersinfinitywar,299536
schaffrillas,A Quiet Place,2018,6.0,a-quiet-place-2018,2018.0,aquietplace,447332
schaffrillas,Game Night,2018,8.0,game-night,,gamenight,445571
schaffrillas,Black Panther,2018,8.0,black-panther,,blackpanther,284054
schaffrillas,Phantom Thread,2017,8.0,phantom-thread,,phantomthread,400617
schaffrillas,Star Wars: The Last Jedi,2017,5.0,star-wars-the-last-jedi,,starwarsthelastjedi,181808
schaffrillas,Paddington 2,2017,10.0,paddington-2,,paddington2,346648
schaffrillas,Thor: Ragnarok,2017,8.0,thor-ragnarok,,thorragnarok,284053
schaffrillas,"Three Billboards Outside Ebbing, Missouri",2017,8.0,three-billboards-outside-ebbing-missouri,,"threebillboardsoutsideebbing,missouri",359940
schaffrillas,Lady Bird,2017,10.0,lady-bird,,ladybird,391713
schaffrillas,The Shape of Water,2017,6.0,the-shape-of-water,,theshapeofwater,399055
schaffrillas,Dunkirk,2017,5.0,dunkirk-2017,2017.0,dunkirk,374720
schaffrillas,Spider-Man: Homecoming,2017,6.0,spider-man-homecoming,,spidermanhomecoming,315635
schaffrillas,Good Time,2017,10.0,good-time,,goodtime,429200
schaffrillas,The Florida Project,2017,8.0,the-florida-project,,thefloridaproject,394117
schaffrillas,Guardians of the Galaxy Vol. 2,2017,9.0,guardians-of-the-galaxy-vol-2,,guardiansofthegalaxyvol2,283995
schaffrillas,Baby Driver,2017,9.0,baby-driver,,babydriver,339403
schaffrillas,The Lego Batman Movie,2017,6.0,the-lego-batman-movie,,thelegobatmanmovie,324849
schaffrillas,Get Out,2017,9.0,get-out-2017,2017.0,getout,419430
schaffrillas,Call Me by Your Name,2017,6.0,call-me-by-your-name,,callmebyyourname,398818
schaffrillas,Rogue One: A Star Wars Story,2016,6.0,rogue-one-a-star-wars-story,,rogueoneastarwarsstory,330459
schaffrillas,Doctor Strange,2016,6.0,doctor-strange-2016,2016.0,doctorstrange,284052
schaffrillas,Moonlight,2016,7.0,moonlight-2016,2016.0,moonlight,376867
schaffrillas,Arrival,2016,7.0,arrival-2016,2016.0,arrival,329865
schaffrillas,La La Land,2016,9.0,la-la-land,,lalaland,313369
schaffrillas,The Nice Guys,2016,9.0,the-nice-guys,,theniceguys,290250
schaffrillas,Captain America: Civil War,2016,8.0,captain-america-civil-war,,captainamericacivilwar,271110
schaffrillas,Deadpool,2016,6.0,deadpool,,deadpool,293660
schaffrillas,Manchester by the Sea,2016,8.0,manchester-by-the-sea,,manchesterbythesea,334541
schaffrillas,The Revenant,2015,8.0,the-revenant-2015,2015.0,therevenant,281957
schaffrillas,Star Wars: The Force Awakens,2015,8.0,star-wars-the-force-awakens,,starwarstheforceawakens,140607
schaffrillas,Spotlight,2015,5.0,spotlight,,spotlight,314365
schaffrillas,Mission: Impossible – Rogue Nation,2015,8.0,mission-impossible-rogue-nation,,missionimpossible–roguenation,177677
schaffrillas,Ant-Man,2015,5.0,ant-man,,antman,102899
schaffrillas,Inside Out,2015,8.0,inside-out-2015,2015.0,insideout,150540
schaffrillas,The Lobster,2015,8.0,the-lobster,,thelobster,254320
schaffrillas,Mad Max: Fury Road,2015,10.0,mad-max-fury-road,,madmaxfuryroad,76341
schaffrillas,Ex Machina,2015,8.0,ex-machina-2015,2015.0,exmachina,264660
schaffrillas,Interstellar,2014,9.0,interstellar,,interstellar,157336
schaffrillas,Gone Girl,2014,9.0,gone-girl,,gonegirl,210577
schaffrillas,Nightcrawler,2014,6.0,nightcrawler,,nightcrawler,242582
schaffrillas,Birdman or (The Unexpected Virtue of Ignorance),2014,8.0,birdman-or-the-unexpected-virtue-of-ignorance,,birdmanor(theunexpectedvirtueofignorance),194662
schaffrillas,Guardians of the Galaxy,2017,8.0,guardians-of-the-galaxy,,guardiansofthegalaxy,283995
schaffrillas,The Grand Budapest Hotel,2014,10.0,the-grand-budapest-hotel,,thegrandbudapesthotel,120467
schaffrillas,What We Do in the Shadows,2014,8.0,what-we-do-in-the-shadows,,whatwedointheshadows,246741
schaffrillas,Whiplash,2014,10.0,whiplash-2014,2014.0,whiplash,244786
schaffrillas,The Wolf of Wall Street,2013,9.0,the-wolf-of-wall-street,,thewolfofwallstreet,106646
schaffrillas,Her,2013,8.0,her,,her,152601
schaffrillas,Enemy,2014,7.0,enemy,,enemy,181886
schaffrillas,Iron Man 3,2013,8.0,iron-man-3,,ironman3,68721
schaffrillas,Whiplash,2013,8.0,whiplash-2013,2013.0,whiplash,244786
schaffrillas,Frances Ha,2013,9.0,frances-ha,,francesha,121986
schaffrillas,The Dark Knight Rises,2012,5.0,the-dark-knight-rises,,thedarkknightrises,49026
schaffrillas,Ted,2012,6.0,ted,,ted,72105
schaffrillas,Moonrise Kingdom,2015,8.0,moonrise-kingdom,,moonrisekingdom,1049516
schaffrillas,The Avengers,2012,7.0,the-avengers-2012,2012.0,theavengers,24428
schaffrillas,Mission: Impossible – Ghost Protocol,2011,9.0,mission-impossible-ghost-protocol,,missionimpossible–ghostprotocol,56292
schaffrillas,Drive,2011,4.0,drive-2011,2011.0,drive,64690
schaffrillas,The Social Network,2010,10.0,the-social-network,,thesocialnetwork,37799
schaffrillas,Scott Pilgrim vs. the World,2010,9.0,scott-pilgrim-vs-the-world,,scottpilgrimvstheworld,22538
schaffrillas,Inception,2010,9.0,inception,,inception,27205
schaffrillas,Toy Story 3,2010,9.0,toy-story-3,,toystory3,10193
schaffrillas,Avatar,2009,5.0,avatar,,avatar,19995
schaffrillas,Fantastic Mr. Fox,2009,9.0,fantastic-mr-fox,,fantasticmrfox,10315
schaffrillas,Inglourious Basterds,2009,9.0,inglourious-basterds,,inglouriousbasterds,16869
schaffrillas,Up,2009,7.0,up,,up,14160
schaffrillas,The Dark Knight,2008,10.0,the-dark-knight,,thedarkknight,155
schaffrillas,WALL·E,2008,9.0,walle,,wall·e,10681
schaffrillas,Iron Man,2008,6.0,iron-man-2008,2008.0,ironman,1726
schaffrillas,Ratatouille,2007,10.0,ratatouille,,ratatouille,2062
schaffrillas,The Prestige,2006,9.0,the-prestige,,theprestige,1124
schaffrillas,Mission: Impossible III,2006,8.0,mission-impossible-iii,,missionimpossibleiii,956
schaffrillas,Batman Begins,2005,8.0,batman-begins,,batmanbegins,272
schaffrillas,Spider-Man 2,2004,7.0,spider-man-2,,spiderman2,558
schaffrillas,Shaun of the Dead,2004,8.0,shaun-of-the-dead,,shaunofthedead,747
schaffrillas,Eternal Sunshine of the Spotless Mind,2004,9.0,eternal-sunshine-of-the-spotless-mind,,eternalsunshineofthespotlessmind,38
schaffrillas,Before Sunset,2004,10.0,before-sunset,,beforesunset,80
schaffrillas,The Lord of the Rings: The Return of the King,2003,7.0,the-lord-of-the-rings-the-return-of-the-king,,thelordoftheringsthereturnoftheking,122
schaffrillas,Oldboy,2013,7.0,oldboy,,oldboy,87516
schaffrillas,Finding Nemo,2003,7.0,finding-nemo,,findingnemo,12
schaffrillas,The Lord of the Rings: The Two Towers,2002,8.0,the-lord-of-the-rings-the-two-towers,,thelordoftheringsthetwotowers,121
schaffrillas,Catch Me If You Can,2002,8.0,catch-me-if-you-can-2002,2002.0,catchmeifyoucan,640
schaffrillas,Punch-Drunk Love,2002,9.0,punch-drunk-love,,punchdrunklove,8051
schaffrillas,Insomnia,2002,8.0,insomnia-2002,2002.0,insomnia,320
schaffrillas,The Lord of the Rings: The Fellowship of the Ring,2001,6.0,the-lord-of-the-rings-the-fellowship-of-the-ring,,thelordoftheringsthefellowshipofthering,120
schaffrillas,Ocean's Eleven,2001,8.0,oceans-eleven-2001,2001.0,oceanseleven,161
schaffrillas,Memento,2000,10.0,memento,,memento,77
schaffrillas,Mission: Impossible II,2000,5.0,mission-impossible-ii,,missionimpossibleii,955
schaffrillas,The Matrix,1999,5.0,the-matrix,,thematrix,603
schaffrillas,Rushmore,1998,8.0,rushmore,,rushmore,11545
schaffrillas,Space Jam,1996,4.0,space-jam,,spacejam,2300
schaffrillas,Mission: Impossible,1996,7.0,mission-impossible,,missionimpossible,954
schaffrillas,Fargo,1996,8.0,fargo,,fargo,275
schaffrillas,Se7en,1995,,se7en,,se7en,807
schaffrillas,Before Sunrise,1995,9.0,before-sunrise,,beforesunrise,76
schaffrillas,Pulp Fiction,1994,9.0,pulp-fiction,,pulpfiction,680
schaffrillas,Jurassic Park,1993,10.0,jurassic-park,,jurassicpark,329
schaffrillas,Alien³,1997,4.0,alien-3,,alien³,272108
schaffrillas,The Silence of the Lambs,1991,9.0,the-silence-of-the-lambs,,thesilenceofthelambs,274
schaffrillas,Die Hard,1988,8.0,die-hard,,diehard,562
schaffrillas,Top Gun,1986,5.0,top-gun,,topgun,744
schaffrillas,Back to the Future,1985,10.0,back-to-the-future,,backtothefuture,105
schaffrillas,Indiana Jones and the Temple of Doom,1984,6.0,indiana-jones-and-the-temple-of-doom,,indianajonesandthetempleofdoom,87
schaffrillas,Blade Runner,1982,5.0,blade-runner,,bladerunner,78
schaffrillas,E.T. the Extra-Terrestrial,1982,7.0,et-the-extra-terrestrial,,ettheextraterrestrial,601
schaffrillas,The Evil Dead,1981,7.0,the-evil-dead,,theevildead,764
schaffrillas,Raiders of the Lost Ark,1981,8.0,raiders-of-the-lost-ark,,raidersofthelostark,85
schaffrillas,Airplane!,1980,7.0,airplane,,airplane!,813
schaffrillas,The Shining,1980,6.0,the-shining,,theshining,694
schaffrillas,The Empire Strikes Back,1980,10.0,the-empire-strikes-back,,theempirestrikesback,1891
schaffrillas,Star Wars,1977,9.0,star-wars,,starwars,11
schaffrillas,Rocky,1976,7.0,rocky,,rocky,1366
schaffrillas,Taxi Driver,1976,7.0,taxi-driver,,taxidriver,103
schaffrillas,Jaws,1975,7.0,jaws,,jaws,578
schaffrillas,2001: A Space Odyssey,1968,8.0,2001-a-space-odyssey,,2001aspaceodyssey,62
schaffrillas,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,9.0,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,,drstrangeloveorhowilearnedtostopworryingandlovethebomb,935
schaffrillas,Rear Window,1954,7.0,rear-window,,rearwindow,567
schaffrillas,Citizen Kane,1941,8.0,citizen-kane,,citizenkane,15
draper_,Superman,2025,9.0,superman-2025,2025.0,superman,1061474
draper_,Mission: Impossible – The Final Reckoning,2025,8.0,mission-impossible-the-final-reckoning,,missionimpossible–thefinalreckoning,575265
draper_,Sinners,2025,9.0,sinners-2025,2025.0,sinners,1233413
draper_,A Complete Unknown,2024,4.0,a-complete-unknown,,acompleteunknown,661539
draper_,Wallace & Gromit: Vengeance Most Fowl,2024,8.0,wallace-gromit-vengeance-most-fowl,,wallace&gromitvengeancemostfowl,929204
draper_,Nosferatu,2024,8.0,nosferatu-2024,2024.0,nosferatu,426063
draper_,Juror #2,2024,8.0,juror-2,,juror#2,1106739
draper_,Joker: Folie à Deux,2024,4.0,joker-folie-a-deux,,jokerfolieàdeux,889737
draper_,The Brutalist,2024,9.0,the-brutalist,,thebrutalist,549509
draper_,Nickel Boys,2024,9.0,nickel-boys,,nickelboys,1028196
draper_,Conclave,2024,8.0,conclave,,conclave,974576
draper_,Beetlejuice Beetlejuice,2024,6.0,beetlejuice-beetlejuice,,beetlejuicebeetlejuice,917496
draper_,The Killer,2024,4.0,the-killer-2024,2024.0,thekiller,800158
draper_,Alien: Romulus,2024,8.0,alien-romulus,,alienromulus,945961
draper_,Trap,2024,5.0,trap-2024,2024.0,trap,1032823
draper_,Anora,2024,9.0,anora,,anora,1064213
draper_,The Substance,2024,8.0,the-substance,,thesubstance,933260
draper_,Megalopolis,2024,5.0,megalopolis-2024,2024.0,megalopolis,592831
draper_,Furiosa: A Mad Max Saga,2024,8.0,furiosa-a-mad-max-saga,,furiosaamadmaxsaga,786892
draper_,Challengers,2024,10.0,challengers,,challengers,937287
draper_,Dune: Part Two,2024,10.0,dune-part-two,,duneparttwo,693134
draper_,I Saw the TV Glow,2024,8.0,i-saw-the-tv-glow,,isawthetvglow,858017
draper_,Godzilla Minus One,2023,9.0,godzilla-minus-one,,godzillaminusone,940721
draper_,Dream Scenario,2023,6.0,dream-scenario,,dreamscenario,823482
draper_,Priscilla,2023,6.0,priscilla,,priscilla,1020006
draper_,The Beast,2019,9.0,the-beast-2023-1,,thebeast,459410
draper_,The Killer,2023,6.0,the-killer-2023,2023.0,thekiller,800158
draper_,Poor Things,2023,8.0,poor-things-2023,2023.0,poorthings,792307
draper_,The Holdovers,2023,9.0,the-holdovers,,theholdovers,840430
draper_,Oppenheimer,2023,10.0,oppenheimer-2023,2023.0,oppenheimer,872585
draper_,Mission: Impossible – Dead Reckoning,2023,9.0,mission-impossible-dead-reckoning,,missionimpossible–deadreckoning,575264
draper_,Barbie,2023,8.0,barbie,,barbie,346698
draper_,Spider-Man: Across the Spider-Verse,2023,9.0,spider-man-across-the-spider-verse,,spidermanacrossthespiderverse,569094
draper_,Anatomy of a Fall,2023,8.0,anatomy-of-a-fall,,anatomyofafall,915935
draper_,Killers of the Flower Moon,2023,10.0,killers-of-the-flower-moon,,killersoftheflowermoon,466420
draper_,May December,2023,6.0,may-december,,maydecember,839369
draper_,The Zone of Interest,2023,9.0,the-zone-of-interest,,thezoneofinterest,467244
draper_,Guardians of the Galaxy Vol. 3,2023,9.0,guardians-of-the-galaxy-vol-3,,guardiansofthegalaxyvol3,447365
draper_,Bottoms,2023,6.0,bottoms,,bottoms,814776
draper_,Past Lives,2023,9.0,past-lives,,pastlives,666277
draper_,Babylon,2022,9.0,babylon-2022,2022.0,babylon,615777
draper_,Avatar: The Way of Water,2022,4.0,avatar-the-way-of-water,,avatarthewayofwater,76600
draper_,The Fabelmans,2022,9.0,the-fabelmans,,thefabelmans,804095
draper_,The Menu,2022,5.0,the-menu-2022,2022.0,themenu,593643
draper_,Glass Onion,2022,6.0,glass-onion,,glassonion,661374
draper_,The Banshees of Inisherin,2022,9.0,the-banshees-of-inisherin,,thebansheesofinisherin,674324
draper_,The Whale,2022,8.0,the-whale-2022,2022.0,thewhale,785084
draper_,TÁR,2022,9.0,tar-2022,2022.0,tár,817758
draper_,Bullet Train,2022,7.0,bullet-train,,bullettrain,718930
draper_,Nope,2022,9.0,nope,,nope,762504
draper_,Thor: Love and Thunder,2022,4.0,thor-love-and-thunder,,thorloveandthunder,616037
draper_,Top Gun: Maverick,2022,9.0,top-gun-maverick,,topgunmaverick,361743
draper_,The Northman,2022,9.0,the-northman,,thenorthman,639933
